,command,neutralization,decay,truncation,sharpe,fitness,turnover,weight,subsharpe,correlation
128,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 1))))",Sector,10,0.01,1.76,0.71,56.15,Weight is well distributed over instruments.,1.49,-1
129,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 1))))",Market,10,0.01,1.61,0.69,56.51,Weight is well distributed over instruments.,1.44,-1
130,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 2))))",Subindustry,10,0.01,1.91,0.69,54.76,Weight is well distributed over instruments.,1.52,-1
131,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 2))))",Industry,10,0.01,1.76,0.67,55.56,Weight is well distributed over instruments.,1.48,-1
132,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 2))))",Sector,10,0.01,1.77,0.71,56.22,Weight is well distributed over instruments.,1.47,-1
133,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 2))))",Market,10,0.01,1.61,0.69,56.59,Weight is well distributed over instruments.,1.42,-1
134,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 3))))",Subindustry,10,0.01,1.92,0.7,54.79,Weight is well distributed over instruments.,1.51,-1
135,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 3))))",Industry,10,0.01,1.77,0.67,55.6,Weight is well distributed over instruments.,1.47,-1
136,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 3))))",Sector,10,0.01,1.77,0.72,56.25,Weight is well distributed over instruments.,1.46,-1
137,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 3))))",Market,10,0.01,1.62,0.7,56.63,Weight is well distributed over instruments.,1.42,-1
138,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 5))))",Subindustry,10,0.01,1.93,0.71,54.81,Weight is well distributed over instruments.,1.51,-1
139,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 5))))",Industry,10,0.01,1.78,0.68,55.62,Weight is well distributed over instruments.,1.46,-1
140,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 30)), 5))))",Sector,10,0.01,1.79,0.73,56.28,Weight is well distributed over instruments.,1.46,-1
